UEID,Title,Created On,IBase Status,Article Number/MLFB,Serial Number,Current Customer,Site,Product Group
IB-15897756-D4C5,6SR5502-2HB38-0BH2-Z-Z8-254251535-10C,29-10-2025 15:08,Active,6SR5502-2HB38-0BH2-Z,Z8-254251535-10C,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
IB-15897757-Z5K4,6SR5502-2HB38-0BH2-Z-Z8-254251535-10D,29-10-2025 15:08,Active,6SR5502-2HB38-0BH2-Z,Z8-254251535-10D,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
IB-15897758-L7T5,6SR5502-2HC41-0BH2-Z-Z8-254251540-10E,29-10-2025 15:08,Active,6SR5502-2HC41-0BH2-Z,Z8-254251540-10E,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
IB-15897759-M8L8,6SR5502-2HC41-0BH2-Z-Z8-254251540-111,29-10-2025 15:08,Active,6SR5502-2HC41-0BH2-Z,Z8-254251540-111,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
IB-15897760-B2M9,6SR5502-2HC41-0BH2-Z-Z8-254251540-114,29-10-2025 15:08,Active,6SR5502-2HC41-0BH2-Z,Z8-254251540-114,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
IB-15897761-F0C7,6SR5502-2HC41-0BH2-Z-Z8-254251540-115,29-10-2025 15:08,Active,6SR5502-2HC41-0BH2-Z,Z8-254251540-115,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
IB-15897762-N0Q2,6SR5502-2HC41-0BH2-Z-Z8-254251540-116,29-10-2025 15:08,Active,6SR5502-2HC41-0BH2-Z,Z8-254251540-116,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
IB-15897764-S3B7,6SR5502-2HE42-0BH2-Z-Z8-254251548-394,29-10-2025 15:08,Active,6SR5502-2HE42-0BH2-Z,Z8-254251548-394,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
IB-15897765-B6N7,6SR5502-2HE42-0BH2-Z-Z8-254251548-395,29-10-2025 15:08,Active,6SR5502-2HE42-0BH2-Z,Z8-254251548-395,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
IB-15866429-H7Z1,6SR5502-5NE43-0BH2-Z-Z8-253851848-033,12-10-2025 14:54,Active,6SR5502-5NE43-0BH2-Z,Z8-253851848-033,Pacific Iron Mfg. Ltd.,"IN-Howrah-Nh 6, P. O. Mahishrekha, Madhabpur,","PH GH180, air cooled"
