Brand,Buisness Unit,Asset Type,Static master,Static Adapt,Static AI,Static Non-AI,Total Static,Video Master,Video Adapt,Video AI,Video Non-Ai,Total Video,Grand Total
,,,,,,,,,,,,,
Horlicks,F&B,Social,5,,5,,5,3,0,,3,3,8
,,ECOM,63,70,133,,133,1,,1,,1,134
,,PMA,41,91,132,,132,,26,26,,26,158
,,Other,3,,3,,3,,,,,,3
Grand Total,,,,,,,273,,,,,30,303
Kissan,F&B,Social,12,,12,,12,2,,2,,2,14
,,ECOM,,,,,,,,,,,0
,,PMA,,,,,,,,,,,0
,,Other,1,,1,,1,,,,,,1
Grand Total,,,,,,,13,,,,,2,15
Ponds,B&W,Social,,,,,,,,4,16,,0
,,ECOM,,,22,,22,,,1,,1,23
,,PMA,,,,,,7,8,,,15,15
,,Other,,,,,,,,,,,0
Grand Total,,,,,,,22,,,,,16,38
Closeup,PC,Social,14,0,14,0,14,1,,,1,1,15
,,ECOM,5,,5,,5,,1,1,,1,6
,,PMA,,,,,,,2,,2,2,2
,,Other,,,,,,,,,,,0
Grand Total,,,,,,,19,,,,,4,23
Pepsodent,PC,Social,,,,,,,,,,,0
,,ECOM,18,82,100,,100,,,,,,100
,,PMA,,,,,,,2,,2,2,2
,,Other,,2,,2,2,,,,,,2
Grand Total,,,,,,,102,,,,,2,104
Dove hair,B&W,Social,,,,8,8,,,,11,11,19
,,ECOM,1,45,3,,49,,,,,,49
,,PMA,,,3,10,13,,,,,,13
,,Other,,,,,,,,,,,0
Grand Total,,,,,,,70,,,,,11,81
Dove Global,B&W,Social,,,6,8,14,,,,,,14
,,ECOM,,,16,5,21,,,,,,21
,,PMA,,,,,,,,,,,0
,,Other,,,,,23,,,,,,23
Grand Total,,,,,,,58,,,,,0,58
Vaseline,B&W,Social,,15,,,15,,29,,,29,44
,,ECOM,,177,16,,193,,46,,,46,239
,,PMA,,,,,,,,,,,0
,,Other,,,,,,,,,,,0
Grand Total,,,,,,,208,,,,,75,283
Simple,B&W,Social,,,26,,33,,,,,10,43
,,ECOM,88,85,29,,173,,,,,,173
,,PMA,24,56,,,80,,,,,10,90
,,Other,,,,,8,,,,,,8
Grand Total,,,,,,,294,,,,,20,314
Indulekha,B&W,Social,,,15,16,31,,,,,,31
,,ECOM,,,,,,,,,,,0
,,PMA,,,16,28,44,,,,,,44
,,Other,,,2,,2,,,,,,2
Grand Total,,,,,,,77,,,,,0,77
BAIS,,Social,24,757,,,781,7,16,,,23,804
,,ECOM,,,,,,,,,,,0
,,PMA,,,,,,,,,,,0
,,Other,,,,,,,,,,,0
Grand Total,,,,,,,781,,,,,23,804
LBP,B&W,Social,,,,,14,,,,,13,27
,,ECOM,48,59,,,107,,,,,,107
,,PMA,,,,,23,,,,,8,31
,,Other,,,,,,,,,,1,1
,,,,,,,144,,,,,22,166
