(Do Not Modify) Customer Asset,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,UEID,Title,Created On,IBase Status,Article Number/MLFB,Serial Number,Current Customer,Site,Product Group
bdde600e-abb4-f011-bbd3-000d3a25b480,yQLfXdGL6N0Pv3vRyvJEcTFmhn5X9NQpEQ7I08FJxSi5sQZiV9fzelD1uJBL1iYzUOg/XjRsv+FI/ciQdGb8CA==,29-10-2025 12:21,IB-15897756-D4C5,6SR5502-2HB38-0BH2-Z-Z8-254251535-10C,29-10-2025 15:08,Active,6SR5502-2HB38-0BH2-Z,Z8-254251535-10C,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
c6de600e-abb4-f011-bbd3-000d3a25b480,mjf6v7HoZaZSO5NRWIDu0fO9320J1rBxIahhI/RxwyxiMT9SnhZ+aO56/XamfUT+k8AyzwGRBhTWlI5piYeNKA==,29-10-2025 12:21,IB-15897757-Z5K4,6SR5502-2HB38-0BH2-Z-Z8-254251535-10D,29-10-2025 15:08,Active,6SR5502-2HB38-0BH2-Z,Z8-254251535-10D,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
cade600e-abb4-f011-bbd3-000d3a25b480,Uufd1px9Vba/EL9fk3SfSCNOOJPCMBFyusZb9bpKRNDXmAbkLox80PyX2WQGhmTTdRnNUW5Dam00qD0CtYfrVA==,09-04-2026 10:48,IB-15897758-L7T5,6SR5502-2HC41-0BH2-Z-Z8-254251540-10E,29-10-2025 15:08,Active,6SR5502-2HC41-0BH2-Z,Z8-254251540-10E,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
f0de600e-abb4-f011-bbd3-000d3a25b480,RA17CWShoINwwJ67oTmncOgsEHhMeBSTqWILQyc3kLQNPPgBLWcIwqgxjdRAQjIMkBSGYIrPKuHsZh7SedSznw==,09-04-2026 10:48,IB-15897759-M8L8,6SR5502-2HC41-0BH2-Z-Z8-254251540-111,29-10-2025 15:08,Active,6SR5502-2HC41-0BH2-Z,Z8-254251540-111,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
fdde600e-abb4-f011-bbd3-000d3a25b480,vLAiX7yZyOu7CNTl5s47p4KVwmqD+0Bc+3WBXxkXGLQxxoVDjgPNSxnd3B5s0PL+JQlkmtJzZGTzj+G9yisXxw==,09-04-2026 10:48,IB-15897760-B2M9,6SR5502-2HC41-0BH2-Z-Z8-254251540-114,29-10-2025 15:08,Active,6SR5502-2HC41-0BH2-Z,Z8-254251540-114,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
0adf600e-abb4-f011-bbd3-000d3a25b480,xshWDvnndLoA3ptyeLnYl7cYeClmWnXs9EZoE8n0OyUVjL70vAGjD5eVZDA9egnTH9qnLu5OD8qG4poJ5Oe2aA==,09-04-2026 10:48,IB-15897761-F0C7,6SR5502-2HC41-0BH2-Z-Z8-254251540-115,29-10-2025 15:08,Active,6SR5502-2HC41-0BH2-Z,Z8-254251540-115,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
0fdf600e-abb4-f011-bbd3-000d3a25b480,tEW6s7L/oHY5i41OajBjizZ6J0fZYweWV8tqA6RIqySnPbeABsMOz1ydxxeKNwrF05gJAtanAWG96EH3UYRxjg==,09-04-2026 10:48,IB-15897762-N0Q2,6SR5502-2HC41-0BH2-Z-Z8-254251540-116,29-10-2025 15:08,Active,6SR5502-2HC41-0BH2-Z,Z8-254251540-116,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
d1af5b14-abb4-f011-bbd3-000d3a25b480,ec9KeVY5uPBBoEDfAFoZAZjj5iYgYpAy4fkZjHehHe/HfzrTx+IYTlsUw4xiit6mmI5MJDPVgNgAFaewWvTtog==,29-10-2025 12:21,IB-15897764-S3B7,6SR5502-2HE42-0BH2-Z-Z8-254251548-394,29-10-2025 15:08,Active,6SR5502-2HE42-0BH2-Z,Z8-254251548-394,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
d5af5b14-abb4-f011-bbd3-000d3a25b480,CJDnM4JQSUG/FyN7rAYFsvRbqFirroY3UIcQn010YIwirIRszfuh7bLd8Utb8Lif0qcq3faoi+yHb/ZH75usVA==,29-10-2025 12:21,IB-15897765-B6N7,6SR5502-2HE42-0BH2-Z-Z8-254251548-395,29-10-2025 15:08,Active,6SR5502-2HE42-0BH2-Z,Z8-254251548-395,ARCELORMITTAL NIPPON STEE,"IN-Hazira-27Km, Surat Hazira Rd., Surat","PH GH180, air cooled"
a1761930-4da7-f011-bbd2-000d3a25b6ee,wMSxpy7IXUB03nLABzPKIbTWxlxI2jG6Kn2WjRgTIg3MGJFa/o1cBVmakWkfcTq5EKW8RmMlKNWnLIwQvcqvGA==,12-10-2025 11:27,IB-15866429-H7Z1,6SR5502-5NE43-0BH2-Z-Z8-253851848-033,12-10-2025 14:54,Active,6SR5502-5NE43-0BH2-Z,Z8-253851848-033,Pacific Iron Mfg. Ltd.,"IN-Howrah-Nh 6, P. O. Mahishrekha, Madhabpur,","PH GH180, air cooled"
